 X 	   Y	 analytical
1.4 	12.6683	   13.3886
1.5 	12.2794	   12.9167
1.6 	11.9925	   12.56
1.7 	11.7941	   12.3018
1.8 	11.6738	   12.1289
1.9 	11.6231	   12.0311
2 	11.6352	   12
2.1 	11.7044	   12.029
2.2 	11.8262	   12.1127
2.3 	11.9968	   12.2465
2.4 	12.213	   12.4267
2.5 	12.4719	   12.65
2.6 	12.7712	   12.9138
2.7 	13.1088	   13.2159
2.8 	13.483	   13.5543
2.9 	13.8921	   13.9272
3 	14.3347	   14.3333
1 	15.6884	   17
1.1 	14.6504	   15.7555
1.2 	13.827	   14.7733
1.3 	13.1763	   13.9977
1.4 	12.6679	   13.3886
1.5 	12.2789	   12.9167
1.6 	11.992	   12.56
1.7 	11.7936	   12.3018
1.8 	11.6733	   12.1289
1.9 	11.6225	   12.0311
2 	11.6345	   12
2.1 	11.7038	   12.029
2.2 	11.8256	   12.1127
2.3 	11.9962	   12.2465
2.4 	12.2123	   12.4267
2.5 	12.4712	   12.65
2.6 	12.7705	   12.9138
2.7 	13.1081	   13.2159
2.8 	13.4823	   13.5543
2.9 	13.8914	   13.9272
3 	14.334	   14.3333
1 	15.6883	   17
1.1 	14.6503	   15.7555
1.2 	13.8268	   14.7733
1.3 	13.1762	   13.9977
1.4 	12.6677	   13.3886
1.5 	12.2787	   12.9167
1.6 	11.9917	   12.56
1.7 	11.7934	   12.3018
1.8 	11.673	   12.1289
1.9 	11.6222	   12.0311
2 	11.6342	   12
2.1 	11.7034	   12.029
2.2 	11.8252	   12.1127
2.3 	11.9958	   12.2465
2.4 	12.2119	   12.4267
2.5 	12.4708	   12.65
2.6 	12.7701	   12.9138
2.7 	13.1078	   13.2159
2.8 	13.4819	   13.5543
2.9 	13.891	   13.9272
3 	14.3337	   14.3333
1 	15.6883	   17
1.1 	14.6502	   15.7555
1.2 	13.8268	   14.7733
1.3 	13.1761	   13.9977
1.4 	12.6676	   13.3886
1.5 	12.2786	   12.9167
1.6 	11.9916	   12.56
1.7 	11.7932	   12.3018
1.8 	11.6729	   12.1289
1.9 	11.6221	   12.0311
2 	11.6341	   12
2.1 	11.7033	   12.029
2.2 	11.8251	   12.1127
2.3 	11.9956	   12.2465
2.4 	12.2118	   12.4267
2.5 	12.4706	   12.65
2.6 	12.7699	   12.9138
2.7 	13.1076	   13.2159
2.8 	13.4817	   13.5543
2.9 	13.8909	   13.9272
3 	14.3335	   14.3333
1 	15.6883	   17
1.1 	14.6502	   15.7555
1.2 	13.8267	   14.7733
1.3 	13.176	   13.9977
1.4 	12.6676	   13.3886
1.5 	12.2785	   12.9167
1.6 	11.9915	   12.56
1.7 	11.7931	   12.3018
1.8 	11.6728	   12.1289
1.9 	11.622	   12.0311
2 	11.634	   12
2.1 	11.7032	   12.029
2.2 	11.825	   12.1127
2.3 	11.9955	   12.2465
2.4 	12.2117	   12.4267
2.5 	12.4705	   12.65
2.6 	12.7698	   12.9138
2.7 	13.1075	   13.2159
2.8 	13.4816	   13.5543
2.9 	13.8908	   13.9272
3 	14.3334	   14.3333
1 	15.6883	   17
1.1 	14.6502	   15.7555
1.2 	13.8267	   14.7733
1.3 	13.176	   13.9977
1.4 	12.6675	   13.3886
1.5 	12.2785	   12.9167
1.6 	11.9915	   12.56
1.7 	11.7931	   12.3018
1.8 	11.6727	   12.1289
1.9 	11.6219	   12.0311
2 	11.6339	   12
2.1 	11.7031	   12.029
2.2 	11.8249	   12.1127
2.3 	11.9955	   12.2465
2.4 	12.2116	   12.4267
2.5 	12.4705	   12.65
2.6 	12.7698	   12.9138
2.7 	13.1074	   13.2159
2.8 	13.4816	   13.5543
2.9 	13.8907	   13.9272
3 	14.3334	   14.3333
1 	15.6883	   17
1.1 	14.6502	   15.7555
1.2 	13.8267	   14.7733
1.3 	13.176	   13.9977
1.4 	12.6675	   13.3886
1.5 	12.2785	   12.9167
1.6 	11.9915	   12.56
1.7 	11.7931	   12.3018
1.8 	11.6727	   12.1289
1.9 	11.6219	   12.0311
2 	11.6339	   12
2.1 	11.7031	   12.029
2.2 	11.8249	   12.1127
2.3 	11.9955	   12.2465
2.4 	12.2116	   12.4267
2.5 	12.4705	   12.65
2.6 	12.7698	   12.9138
2.7 	13.1074	   13.2159
2.8 	13.4816	   13.5543
2.9 	13.8907	   13.9272
3 	14.3333	   14.3333
1 	15.6883	   17
1.1 	14.6502	   15.7555
1.2 	13.8267	   14.7733
1.3 	13.176	   13.9977
1.4 	12.6675	   13.3886
1.5 	12.2785	   12.9167
